tweet_id,processed_tweet
1,getting several interesting inputs mannkibaat take place keep
2,india modigovernment failed provide dignified jobs youth state youth india raising
3,getting several interesting inputs mannkibaat take place keep
4,conference organises two days hybrid conference govt college yoga education health
5,chief defence staff general bipin rawat performs puja ahead inauguration defence offices complexes delhis
6,getting several interesting inputs mannkibaat take place keep
7,getting several interesting inputs mannkibaat take place keep
8,cds gen bipin rawat performs puja ahead inauguration defence offices complexes delhis kasturba gandhi
9,vice president prime minister lok sabha speaker jointly launch sansad tv via namo app
10,breaking indias top science agency tailored covid19 findings fit prime minister narendra modis narrative
11,tomorrow unemployed youth celebrate prime minister narendra modis birthday national unemployment
12,india modigovernment failed provide dignified jobs youth state youth india raising
13,india modigovernment failed provide dignified jobs youth state youth india raising
14,better way celebrate hon pm sri narendra modi ji birthday new global records vaccination something
15,democracy constitutional structure spirit jeevan dhara pm narendra modi sansad tv
16,getting several interesting inputs mannkibaat take place keep
17,freedomforkashmir stripping kashmiris limited autonomy narendra modi government trying
18,tomorrow unemployed youth celebrate prime minister narendra modis birthday
19,watch people central vista project would conveniently quiet also part centra vista
20,chief defence staff general bipin rawat performs puja ahead inauguration defence offices complexes delhis
21,national spokesperson prime minister narendra modis bjp endorses fake twitter account slanders
22,bjp fools shame celebrate modi birthday narendra modi destroying
23,better way celebrate hon pm sri narendra modi ji birthday new global records
24,foundation day dattopant thengadi national board workers education development celebrated
25,tomorrow unemployed youth celebrate prime minister narendra modis birthday national unemployment
26,india modigovernment failed provide dignified jobs youth state youth india raising
27,tomorrow unemployed youth celebrate prime minister narendra modis birthday national unemployment
28,tomorrow unemployed youth celebrate prime minister narendra modis birthday national unemployment
29,chief defence staff general bipin rawat performs puja ahead inauguration defence offices complexes delhis
30,tomorrow unemployed youth celebrate prime minister narendra modis birthday
31,freedomforkashmir connection pakistan day celebrations unusual unexpected letter couched diplomatic
32,narendra modis time profile says eroded rights muslim minorities intimidated
33,let us work together celebrate prime minister shri narendra modi jis birthday best photo event make
34,freedomforkashmir india flooded kashmir valley troops restricted movements cut
35,getting several interesting inputs mannkibaat take place keep
36,favourite picture modi ji post write celebrate prime minister shri narendra modi jis
37,getting several interesting inputs mannkibaat take place keep
38,
39,watch people central vista project would conveniently quiet also part centra vista
40,india modigovernment failed provide dignified jobs youth state youth india raising
41,freedom expression joke largest democracy got dictatorial
42,pathetic minister said even comma changed history books years
43,govt always working empowerment farmers pm narendra modi aligarh
44,getting several interesting inputs mannkibaat take place keep
45,foundation day dattopant thengadi national board workers education development celebrated
46,dial share ideas suggestions pm shri mannkibaat programme september
47,watch people central vista project would conveniently quiet also part centra vista
48,watch people central vista project would conveniently quiet also part centra vista
49,tomorrow unemployed youth celebrate prime minister narendra modis birthday national unemployment
50,tomorrow unemployed youth celebrate prime minister narendra modis birthday
51,breaking indias top science agency tailored covid19 findings fit prime minister narendra modis narrative
52,tomorrow unemployed youth celebrate prime minister narendra modis birthday national unemployment
53,india modigovernment failed provide dignified jobs youth state youth india
54,foundation day dattopant thengadi national board workers education development celebrated
55,watch people central vista project would conveniently quiet also part centra vista
56,freedomforkashmir still line communication two countries kashmir remained open despite
57,freedomforkashmir stripping kashmiris limited autonomy narendra modi government
58,india modigovernment failed provide dignified jobs youth state youth india raising
59,india modigovernment failed provide dignified jobs youth state youth india raising
60,freedomforkashmir connection pakistan day celebrations unusual unexpected letter couched diplomatic
61,getting several interesting inputs mannkibaat take place keep
62,tomorrow unemployed youth celebrate prime minister narendra modis birthday national unemployment
63,india modigovernment failed provide dignified jobs youth state youth india raising
64,chief defence staff general bipin rawat performs puja ahead inauguration defence offices complexes delhis
65,freedomforkashmir stripping kashmiris limited autonomy narendra modi government trying
66,freedomforkashmir state lockdown narendra modi government imposed
67,tomorrow unemployed youth celebrate prime minister narendra modis birthday national unemployment
68,submitted memorandum sri narendra modi davangere dc dc office demanded fullfill promises
69,conference organises two days hybrid conference govt college yoga education health
70,breaking indias top science agency tailored covid19 findings fit prime minister narendra modis narrative
71,watch people central vista project would conveniently quiet also part centra vista
72,tomorrow unemployed youth celebrate prime minister narendra modis birthday national unemployment
73,watch people central vista project would conveniently quiet also part centra vista
74,tomorrow unemployed youth celebrate prime minister narendra modis birthday national unemployment
75,freedomforkashmir stripping kashmiris limited autonomy narendra modi government trying
76,freedomforkashmir stripping kashmiris limited autonomy narendra modi government trying
77,get motivation pm narendra modi indias tokyo paralympians via namo
78,occasion prime minister shri narendra modi ji organises conference management post
79,freedomforkashmir india flooded kashmir valley troops restricted movements cut communication
80,bihar man refuses return money mistakenly sent bank held thought money sent pm narendra
81,getting several interesting inputs mannkibaat take place keep
82,freedomforkashmir stripping kashmiris limited autonomy narendra modi government
83,democracy constitutional structure spirit jeevan dhara pm narendra modi
84,foundation day dattopant thengadi national board workers education development celebrated
85,chief defence staff general bipin rawat performs puja ahead inauguration defence offices complexes delhis
86,watch people central vista project would conveniently quiet also part centra vista
87,pm inaugurate defence offices complexes kasturba gandhi marg africa avenue september
88,freedomforkashmir narendra modi government imposed sweeping communications blackout curfew
89,tree plantation sept wb governor shri jagdeep dhankhar smt sudesh dhankhar raj
90,tree plantation sept wb governor shri jagdeep dhankhar smt sudesh dhankhar raj
91,tomorrow unemployed youth celebrate prime minister narendra modis birthday national unemployment
92,getting several interesting inputs mannkibaat take place keep
93,democracy constitutional structure spirit jeevan dhara pm narendra modi sansad tv
94,narendra modis time profile says eroded rights muslim minorities intimidated
95,freedomforkashmir state lockdown narendra modi government imposed
96,getting several interesting inputs mannkibaat take place keep
97,freedomforkashmir prime minister imran said couldnt initially understand indian prime minister narendra modi
98,getting several interesting inputs mannkibaat take place keep
99,freedomforkashmir connection pakistan day celebrations unusual unexpected letter couched diplomatic
100,tomorrow unemployed youth celebrate prime minister narendra modis birthday national unemployment
