tweet_id,tweet_text,polarity
1,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…",positive
2,"RT @Priya4423: In India, the ModiGovernment failed to provide dignified jobs to the youth of the state. Now youth of India is raising their…",neutral
3,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…",positive
4,"RT @Jaspree72749562: #Conference @YogAayog_HRY organises Two days Hybrid conference with Govt. College of Yoga Education and Health, Chandi…",neutral
5,RT @ANI: Chief of Defence Staff General Bipin Rawat performs 'puja' ahead of the inauguration of Defence Offices Complexes at Delhi's Kastu…,positive
6,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…",positive
7,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…",positive
8,RT @FrontalForce: CDS Gen Bipin Rawat performs 'puja' ahead of the inauguration of Defence Offices Complexes at Delhi's Kasturba Gandhi Mar…,positive
9,"Vice President, Prime Minister and Lok Sabha Speaker jointly launch Sansad TV
https://t.co/am8qpiMpnf via NaMo App https://t.co/EZdUwlvaQX",neutral
10,RT @Karan_Singhs: Breaking: India's top science agency tailored its Covid-19 findings to fit Prime Minister Narendra Modi's narrative on th…,neutral
11,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…",positive
12,"RT @Priya4423: In India, the ModiGovernment failed to provide dignified jobs to the youth of the state. Now youth of India is raising their…",neutral
13,"RT @mohitIndia143: In India, the ModiGovernment failed to provide dignified jobs to the youth of the state. Now youth of India is raising t…",neutral
14,"RT @Bjp4Btm: What better way to celebrate our Hon PM Sri Narendra Modi ji Birthday 🎉.Setting new Global records of vaccination, something a…",positive
15,"Democracy is not just constitutional structure but a spirit, it's 'jeevan dhara': PM Narendra Modi at Sansad TV lau… https://t.co/I9y9TLVaYT",positive
16,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…",positive
17,"RT @saljokS1: #FreedomForKashmir
After stripping the Kashmiris of their limited autonomy, the Narendra Modi government is now trying to alt…",negative
18,"RT @Sandeep84206831: #कल_बेरोजगार_दिवस_है Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as Natio…",positive
19,"RT @ANI: #WATCH | ""People who were after Central Vista Project would be conveniently quiet on this, which is also part of Centra Vista... T…",positive
20,RT @ANI: Chief of Defence Staff General Bipin Rawat performs 'puja' ahead of the inauguration of Defence Offices Complexes at Delhi's Kastu…,positive
21,RT @RanaAyyub: The national spokesperson of Prime Minister Narendra Modi's BJP endorses a fake twitter account that abuses&amp; slanders my fat…,neutral
22,"RT @Vikas_Kaha_Hai: #कल_बेरोजगार_दिवस_है
To All Bjp fools
Have some shame before you Celebrate Modi Birthday

Narendra Modi is destroying I…",positive
23,"What better way to celebrate our Hon PM Sri Narendra Modi ji Birthday 🎉.Setting new Global records of vaccination,… https://t.co/hw6RfAfmkT",positive
24,RT @byadavbjp: The 63rd Foundation Day of Dattopant Thengadi National Board for Workers Education and Development is being celebrated as #W…,neutral
25,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…",positive
26,"RT @mohitIndia143: In India, the ModiGovernment failed to provide dignified jobs to the youth of the state. Now youth of India is raising t…",neutral
27,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…",positive
28,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…",positive
29,RT @ANI: Chief of Defence Staff General Bipin Rawat performs 'puja' ahead of the inauguration of Defence Offices Complexes at Delhi's Kastu…,positive
30,"RT @Sandeep84206831: #कल_बेरोजगार_दिवस_है Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as Natio…",positive
31,"RT @qraqram: #FreedomForKashmir
In connection with Pakistan Day celebrations, an unusual and unexpected letter couched in diplomatic langua…",negative
32,"RT @Ananth_Krishna_: Narendra Modi's TIME 100 profile says he has ""eroded the rights of the Muslim Minorities"" and ""intimidated and impriso…",neutral
33,RT @VinaySrivaastav: Let us work together in 'Celebrate Prime Minister Shri Narendra Modi Ji's Birthday with his Best Photo' event &amp; make i…,positive
34,"RT @SRlalaland: #FreedomForKashmir 
@SRlalaland 
@WeAreVOIK 

India flooded the Kashmir valley with troops, restricted movements and cut of…",neutral
35,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…",positive
36,"RT @Aish17aer: Which is your favourite picture of Modi ji? 
Post and write why.

Celebrate Prime Minister Shri Narendra Modi Ji's Birthday…",neutral
37,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…",positive
38,RT @JaganNKaushik: @AAshaRathod @AjitsinhJagirda @sureshseshadri1 @swetamishraa @NmN79621443 @SanskarBarot @Ravisha23624235 @chimnibai @kai…,positive
39,"RT @ANI: #WATCH | ""People who were after Central Vista Project would be conveniently quiet on this, which is also part of Centra Vista... T…",positive
40,"RT @Priya4423: In India, the ModiGovernment failed to provide dignified jobs to the youth of the state. Now youth of India is raising their…",neutral
41,RT @DaljeetGrewal80: Freedom of Expression Is a Joke in the world’s largest democracy because we got .@India_NHRC and Dictatorial Narendra…,positive
42,"RT @PolitiCrooks: It is your pathetic minister who said ""not even a comma is changed in history books in 4 years""... What is it you have do…",positive
43,"RT @Sumitrabjp: Govt always working for empowerment of farmers: PM Narendra Modi in Aligarh
 https://t.co/neJY0tt18o https://t.co/z5SROGnX8M",negative
44,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…",positive
45,RT @byadavbjp: The 63rd Foundation Day of Dattopant Thengadi National Board for Workers Education and Development is being celebrated as #W…,neutral
46,RT @BJP4India: Dial 1800117800 to share your ideas and suggestions for PM Shri @narendramodi's #MannKiBaat programme on 26th September 2021…,positive
47,"RT @ANI: #WATCH | ""People who were after Central Vista Project would be conveniently quiet on this, which is also part of Centra Vista... T…",positive
48,"RT @ANI: #WATCH | ""People who were after Central Vista Project would be conveniently quiet on this, which is also part of Centra Vista... T…",positive
49,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…",positive
50,"RT @Sandeep84206831: #कल_बेरोजगार_दिवस_है Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as Natio…",positive
51,RT @Karan_Singhs: Breaking: India's top science agency tailored its Covid-19 findings to fit Prime Minister Narendra Modi's narrative on th…,neutral
52,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…",positive
53,"RT @ShivamK53298813: In India, the ModiGovernment failed to provide dignified jobs to the youth of the state. Now youth of India is raising…",neutral
54,RT @byadavbjp: The 63rd Foundation Day of Dattopant Thengadi National Board for Workers Education and Development is being celebrated as #W…,neutral
55,"RT @ANI: #WATCH | ""People who were after Central Vista Project would be conveniently quiet on this, which is also part of Centra Vista... T…",positive
56,"#FreedomForKashmir
Still, the line of communication between the two countries over Kashmir remained open despite te… https://t.co/Mvb4Qyn4ph",positive
57,"RT @Aleeha__Malik: #FreedomForKashmir

After stripping the Kashmiris of their limited autonomy, the Narendra Modi government is now trying…",negative
58,"RT @Priya4423: In India, the ModiGovernment failed to provide dignified jobs to the youth of the state. Now youth of India is raising their…",neutral
59,"RT @Priya4423: In India, the ModiGovernment failed to provide dignified jobs to the youth of the state. Now youth of India is raising their…",neutral
60,"RT @itx__falcon: #FreedomForKashmir

In connection with Pakistan Day celebrations, an unusual and unexpected letter couched in diplomatic l…",negative
